เหตุผลของการย้ายถิ่น,กรุงเทพมหานคร,กลาง,เหนือ,ตะวันออกเฉียงเหนือ,ใต้
หางานทำ,16097.9528,34475.2614,9882.4364,15859.3768,8642.4157
ต้องการเปลี่ยนงาน,2649.131,15823.3966,5193.2681,6530.4592,2057.9812
ต้องการรายได้เพิ่มขึ้น,2017.772,7800.8414,2879.3749,535.4164,197.4577
หน้าที่การงาน,4064.1963,26681.8189,10324.1255,2552.4254,7836.2372
ศึกษาต่อ,496.7646,3951.2398,3560.9938,2093.9644,2487.5726
ย้ายที่อยู่อาศัย,1566.8078,50845.7347,5821.7686,11727.4028,14672.682
กลับภูมิลำเนา,1780.8734,13067.4049,23140.4857,53217.3862,25566.188
ติดตามครอบครัว,2362.2619,28205.9062,15433.2577,19007.1854,16858.2089
ช่วยธุรกิจในครอบครัว,,364.051,1679.5621,1068.5782,123.0817
รักษาตัว,,1873.952,82.6234,1179.153,780.0187
ขาดคนดูแล,1135.3523,3641.9751,2111.6202,4699.6517,2217.6133